,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
166,skoda karoq,61028112,Skoda,Karoq,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,126 g/km,Euro 6d-TEMP,,,,,,64 909 km,11/2019,,5.6 l/100km (combined),27299,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1 498 ccm,,1,,,,,,,,,,
167,mitsubishi space-star,61028075,Mitsubishi,Space Star,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,52 kW,,113 g/km,Euro 6d,,,,,,25 km,9/2023,,5 l/100km (combined); 5.6 l/100km (city); 4.4 l/100km ,15949,EUR,Bluetooth; Rain sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; AUX; Front electric windows,1 193 ccm,09/2026,,,,,,,,,,,
168,renault captur,61028057,Renault,Captur,Blue,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,,133 g/km,Euro 6d,,,,,No,15 km,12/2023,,5.9 l/100km (combined); 6.5 l/100km (city); 4.6 l/100km ,27299,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 332 ccm,,,,,Mild hybrid,,,,,,,
169,volkswagen golf,61028007,Volkswagen,Golf,White,,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,117 g/km,Euro 6d,,,,,,5 km,9/2023,,5.1 l/100km (combined); 7.7 l/100km (city); 4.8 l/100km ,25199,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system,1 498 ccm,09/2026,1,,,,,,,,,,
170,bmw 530,61028014,BMW,530,White,,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,,133 g/km,Euro 6,,,,,,51 410 km,10/2020,,5.1 l/100km (combined); 6.4 l/100km (city); 4.3 l/100km ,46549,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Smart key; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Navigation system; Heated steering wheel,2 993 ccm,10/2023,1,,,,,,,,,,
171,volkswagen touran,61027976,Volkswagen,Touran,Black,Metallic,Black interior,Velour interior,MPV,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,110 kW,,124 g/km,Euro 6d-TEMP,,,,,,73 196 km,1/2020,,5.4 l/100km (combined); 6.6 l/100km (city); 4.7 l/100km ,26199,EUR,Driver's seat with massage function; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters,1 498 ccm,04/2025,1,,,,,,,,,,
172,bmw x7,61027965,BMW,X7,Grey,Metallic,Brown interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,294 kW,,186 g/km,Euro 6d,,,,,,71 900 km,1/2020,,7.1 l/100km (combined); 7.8 l/100km (city); 6.7 l/100km ,82299,EUR,Laser headlights; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,2 993 ccm,,1,,,,,,,,,,
173,volkswagen t-cross,61027956,Volkswagen,T-Cross,Black,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,112 g/km,Euro 6,,,,,,20 974 km,5/2023,Used,6.3 l/100km (combined),28299,EUR,LED headlights; Adaptive cruise control; Smartphone mirroring; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Traffic sign recognition; Bluetooth; Induction charging for smartphones,999 ccm,,1,,,,,,,,,,
174,citroen berlingo,61027919,Citroen,Berlingo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,not published by the seller,Diesel,Manual,4x2,55 kW,,114 g/km,Euro 6,,,,,,27 626 km,6/2019,,4.4 l/100km (combined); 4.9 l/100km (city); 4.1 l/100km ,16849,EUR,High beam assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; USB; Front electric windows,1 560 ccm,,1,,,,,,,,,,
175,volkswagen beetle,61027902,Volkswagen,Beetle,Black,Metallic,Black interior,Cloth interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,77 kW,,124 g/km,Euro 6,,,,,,40 128 km,11/2017,,5.4 l/100km (combined); 6.2 l/100km (city); 4.7 l/100km ,27299,EUR,Smartphone mirroring; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Traffic sign recognition; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,1 197 ccm,11/2024,1,,,,,,,,,,
176,citroen c3-aircross,61027907,Citroen,C3 Aircross,White,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,109 g/km,Euro 6d,,,,,,43 396 km,10/2019,,4.8 l/100km (combined); 5.8 l/100km (city); 4.2 l/100km ,14999,EUR,Traffic sign recognition; Bluetooth; Leather; Light sensor; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel,1 199 ccm,,1,,,,,,,,,,
177,citroen c5-x,61027910,Citroen,C5 X,Grey,Metallic,Grey interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,,28 g/km,Euro 6d,,,,,No,1 000 km,5/2023,Demonstration car,1.2 l/100km (combined),39949,EUR,Driver's seat with massage function; Autonomous driving; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 598 ccm,,1,,,Plug-in hybrid,,,,,,,
178,mercedes-benz a-180,61027879,Mercedes-Benz,A 180,White,Metallic,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,,127 g/km,Euro 6d-TEMP,,,,,,26 298 km,10/2019,,5.5 l/100km (combined); 6.9 l/100km (city); 4.6 l/100km ,26799,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,1 332 ccm,,,,,,,,,,,,
179,suzuki ignis,61027864,Suzuki,Ignis,White,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,61 kW,,89 g/km,Euro 6,,,,,No,9 km,9/2023,New,5 l/100km (combined),20449,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C,1 197 ccm,,,,,Mild hybrid,,,,,,,
180,hyundai kona,61027891,Hyundai,Kona,Grey,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,100 kW,0 g/km,No emission class,Lithium polymer (Li-pol),,,,No,42 632 km,11/2020,,,18549,EUR,Digital cockpit; Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Paddle shifters; Bluetooth; Automatic A/C; Rain sensor,,11/2025,1,,42 kWh,,,,,,,,
181,volkswagen up!,61027853,Volkswagen,up!,White,,Black interior,Part leather interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,44 kW,,100 g/km,No emission class,,,,,,13 500 km,1/2020,,4.4 l/100km (combined); 5.3 l/100km (city); 3.8 l/100km ,15099,EUR,Heated front seats; Navigation system; Bluetooth; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Cornering lights; On-board computer,999 ccm,02/2024,2,,,,,,,,,,
182,renault captur,61027849,Renault,Captur,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,131 g/km,Euro 6d,,,,,No,10 km,12/2023,,5.8 l/100km (combined); 7.3 l/100km (city); 4.8 l/100km ,27849,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1 332 ccm,,,,,Mild hybrid,,,,,,,
183,mercedes-benz eqb,61027858,Mercedes-Benz,EQB,Grey,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,140 kW,,0 g/km,Euro 6d-TEMP,,,,,No,23 815 km,10/2022,,0 kWh/100km (combined),42649,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Front seats with memory; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel,,,1,,67 kWh,,,,,,,,
184,mercedes-benz e-63-amg,61027834,Mercedes-Benz,E 63 AMG,Black,,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,450 kW,,281 g/km,Euro 6d-TEMP,,,,,,62 676 km,1/2020,,12.4 l/100km (combined); 14.5 l/100km (city); 8.7 l/100km ,90149,EUR,Driver's seat with massage function; Ventilated front seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats,3 982 ccm,,2,,,,,,,,,,
185,renault arkana,61027800,Renault,Arkana,Blue,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,106 kW,,107 g/km,Euro 6d,,,,,,10 km,8/2023,,4.8 l/100km (combined); 4.6 l/100km (city); 3.5 l/100km ,34049,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Apple CarPlay; Android auto,1 598 ccm,,,,,,,,,,,,
186,mercedes-benz e-53-amg,61027817,Mercedes-Benz,E 53 AMG,Black,Metallic,Black interior,Part leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,320 kW,,213 g/km,Euro 6d-TEMP,,,,,,95 806 km,10/2020,,9.4 l/100km (combined); 11.9 l/100km (city); 7.2 l/100km ,59049,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters,2 999 ccm,,1,,,,,,,,,,
187,hyundai i10,61027745,Hyundai,i10,Red,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,49 kW,,117 g/km,Euro 6d,,,,,,33 487 km,10/2019,,5.1 l/100km (combined); 6.2 l/100km (city); 5.3 l/100km ,13799,EUR,Integrated music streaming; On-board computer; USB; AUX; Front electric windows,998 ccm,,1,,,,,,,,,,
188,audi q3,61027681,Audi,Q3,Grey,Metallic,Black interior,Other interior material,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x4,169 kW,,168 g/km,Euro 6d-TEMP,,,,,,37 800 km,3/2020,,7.4 l/100km (combined); 9.7 l/100km (city); 6.5 l/100km ,38649,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate,1 984 ccm,,1,,,,,,,,,,
189,bmw x5,61027673,BMW,X5,Grey,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,290 kW,83 kW,37 g/km,Euro 6d-TEMP,Lithium-ion (Li-ion),,312 min,160000 km,No,23 304 km,9/2020,,1.6 l/100km (combined),75349,EUR,Laser headlights; Driver's seat with massage function; Ventilated front seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Harman/Kardon audio,2 998 ccm,08/2025,1,,,,,,,,,,
190,volkswagen t6-california,61027632,Volkswagen,T6 California,White,,Grey interior,Cloth interior,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Automatic,4x2,110 kW,,179 g/km,Euro 6d-TEMP,,,,,,16 144 km,4/2023,,6.9 l/100km (combined),72799,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Voice control; Navigation system; Traffic sign recognition; Bluetooth; High beam assist,1 968 ccm,,1,,,,,,,,,,
191,audi q5,61027631,Audi,Q5,Black,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,220 kW,105 kW,164 g/km,No emission class,Lithium-ion (Li-ion),,,160000 km,No,33 812 km,12/2020,,7.2 l/100km (combined),38399,EUR,Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Glare-free high beam headlights; Traffic sign recognition,1 984 ccm,,1,,,,,,,,,,
192,volkswagen arteon,61027580,Volkswagen,Arteon,Grey,,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,130 g/km,Euro 6d-TEMP,,,,,,136 000 km,7/2019,,5 l/100km (combined); 5.8 l/100km (city); 4.5 l/100km ,27349,EUR,Driver's seat with massage function; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Smartphone mirroring,1 968 ccm,07/2024,1,,,,,,,,,,
193,volkswagen t-roc,61027534,Volkswagen,T-Roc,Black,Metallic,Black interior,Alcantara interior,Cabriolet,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,110 kW,,130 g/km,Euro 6d,,,,,,0 km,9/2023,New,6.4 l/100km (combined),55449,EUR,Navigation system; Alcantara interior,1 500 ccm,,,,,,,,,,,,
194,kia rio,61027498,Kia,Rio,Grey,,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,74 kW,,102 g/km,Euro 6d,,,,,,10 km,12/2023,Demonstration car,4.5 l/100km (combined); 5.7 l/100km (city); 4.4 l/100km ,24649,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth,998 ccm,12/2024,1,,,,,,,,,,
195,renault twingo,61027457,Renault,Twingo,Black,,Black interior,,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,Euro 6,,,,,No,11 038 km,1/2022,Used,0 kWh/100km (combined),18599,EUR,Parking cameras; Automatic A/C; Automatic lights; Lane assist; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Alloy wheels,,,1,,22 kWh,,190 km,12/2024,,,,,
196,renault clio,61027444,Renault,Clio,Grey,,Beige interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,,112 g/km,Euro 6,,,,,,49 934 km,9/2021,Used,5.2 l/100km (combined); 5.6 l/100km (city); 3.7 l/100km ,14899,EUR,Traffic sign recognition; Automatic lights; Hill-start assist,999 ccm,,1,,,,,06/2024,,,,,
197,toyota corolla-cross,61027439,Toyota,Corolla Cross,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,103 kW,,121 g/km,No emission class,,,,,,1 km,9/2023,New,5.3 l/100km (combined); 5.3 l/100km (city); 5.3 l/100km ,33949,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); Traffic sign recognition,1 798 ccm,,,,,,,,1515,Germany,,,
198,renault arkana,61027422,Renault,Arkana,Grey,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,116 kW,,131 g/km,Euro 6d,,,,,No,10 km,12/2023,,5.8 l/100km (combined); 7.5 l/100km (city); 5 l/100km ,36849,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,1 332 ccm,,,,,Mild hybrid,,,,,,,
199,skoda kamiq,61027421,Skoda,Kamiq,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,115 g/km,Euro 6d-TEMP,,,,,,10 km,9/2023,New,5.3 l/100km (combined); 6.5 l/100km (city); 4.5 l/100km ,33749,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,1 498 ccm,,,,,,,,,,,,
200,bmw 530,61027412,BMW,530,Grey,Metallic,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,195 kW,,153 g/km,Euro 6,,,,,,111 127 km,4/2019,,5.8 l/100km (combined); 7 l/100km (city); 5.1 l/100km ,34049,EUR,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,2 993 ccm,,1,,,,,,,,,,
201,volvo c40,61027406,Volvo,C40,Grey,Metallic,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,300 kW,,0 g/km,No emission class,,,,,,1 km,11/2023,,0 kWh/100km (combined),56499,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,,,,,,,,,2185,,,,
202,peugeot 208,61027389,Peugeot,208,Grey,Metallic,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,74 kW,,85 g/km,Euro 6,,,,,,57 346 km,8/2019,Used,3.2 l/100km (combined),15399,EUR,Automatic multi-zone A/C; Sport front seats; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Electrically foldable side mirrors; Cornering lights; On-board computer,1 499 ccm,,,,,,,12/2028,,,,,
203,citroen c3-aircross,61027398,Citroen,C3 Aircross,Grey,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,81 kW,,94 g/km,No emission class,,,,,,50 500 km,7/2021,Used,3.6 l/100km (combined),18899,EUR,Apple CarPlay; Android auto; Bluetooth; USB,1 499 ccm,,,,,,,,1205,Spain,,,
204,audi s7,61027383,Audi,S7,Black,,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,4,not published by the seller,Diesel,Automatic,4x4,257 kW,,170 g/km,Euro 6d-TEMP,,,,,No,162 000 km,8/2019,,6.5 l/100km (combined); 7.7 l/100km (city); 5.8 l/100km ,58499,EUR,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition,2 967 ccm,09/2024,1,,,Mild hybrid,,,,,,,
