CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
fiat 500,Fiat,500,Black,Grey interior,Cloth interior,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,51,88,Euro 6d,23978,8/2021,Used,4.7,16849,Apple CarPlay; Android auto; Voice control; Bluetooth; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors,999.0,2.0
mercedes-benz c-250,Mercedes-Benz,C 250,Grey,Black interior,Other interior material,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,155,130,Euro 6,108230,6/2018,Used,5.6,29449,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,1991.0,1.0
volkswagen arteon,Volkswagen,Arteon,Black,Other interior color,Full leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x4,235,177,Euro 6d,16400,11/2022,Used,8.9,55399,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display,1984.0,1.0
mercedes-benz gle-300,Mercedes-Benz,GLE 300,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,180,193,Euro 6,15169,10/2021,Used,7.3,68949,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof,1950.0,0.0
volkswagen t-roc,Volkswagen,T-Roc,Grey,Black interior,Velour interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,115,Euro 6d,60,12/2023,New,5.0,35199,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot,1500.0,1.0
renault captur,Renault,Captur,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,103,131,Euro 6d,10,12/2023,New,5.8,27849,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1332.0,0.0
ford transit-custom,Ford,Transit Custom,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,100,176,Euro 6d-TEMP,10,12/2023,New,7.7,36999,LED headlights; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,1996.0,1.0
mercedes-benz v-300,Mercedes-Benz,V 300,Black,Black interior,Full leather interior,MPV/VAN,4/5 doors,5.0,Diesel,Automatic,4x2,174,209,Euro 6d,14722,7/2022,Used,8.0,75449,LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Leather; Automatic A/C,1950.0,1.0
ford kuga,Ford,Kuga,Blue,Grey interior,Other interior material,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,165,118,Euro 6d,19956,10/2022,Used,5.1,36249,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,2488.0,1.0
mercedes-benz s-450,Mercedes-Benz,S 450,Black,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x4,270,159,Euro 6d-TEMP,29,9/2023,New,7.0,169449,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2989.0,0.0
renault clio,Renault,Clio,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,54,127,Euro 6,69007,4/2018,Used,5.6,9899,Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; CD player; USB; AUX,1149.0,1.0
ford fiesta,Ford,Fiesta,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,74,114,Euro 6d-TEMP,15,9/2023,New,5.2,25399,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Heated steering wheel,999.0,0.0
opel combo,Opel,Combo,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,115,No emission class,158287,11/2018,Used,4.4,14499,Heated front seats; Panoramic roof; Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Adaptive lighting; High beam assist; Rain sensor,1499.0,2.0
volkswagen passat,Volkswagen,Passat,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,88,125,Euro 6d-TEMP,116175,9/2019,Used,6.6,17799,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Traffic sign recognition,1598.0,1.0
ford transit-custom,Ford,Transit Custom,Silver,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Automatic,4x2,110,169,Euro 6d,10,10/2023,New,8.3,79149,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor,1997.0,1.0
dacia spring,Dacia,Spring,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,33,0,No emission class,5,7/2023,Demonstration car,0.0,17849,Leather; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Front electric windows,1499.0,1.0
audi a4,Audi,A4,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,110,131,Euro 6d-TEMP,74145,10/2019,Used,5.8,25549,LED headlights; Heated front seats; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Sport front seats; Bluetooth; Automatic A/C; High beam assist,1984.0,1.0
mini cooper-s-clubman,MINI,Cooper S Clubman,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,131,121,Euro 6d,1,9/2023,New,5.8,47949,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,2000.0,0.0
volkswagen golf,Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Automatic,4x2,110,116,Euro 6d-TEMP,81910,10/2019,Used,4.4,20399,Parking assist system self-steering; Adaptive cruise control; Heated front seats; Navigation system; Heated steering wheel; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor,1968.0,1.0
volkswagen t5-transporter,Volkswagen,T5 Transporter,Blue,Grey interior,Other interior material,Cargo VAN,4/5 doors,4.0,Diesel,Manual,4x4,103,219,Euro 5,165833,8/2012,Used,8.3,34199,On-board computer; CD player; Front electric windows,1968.0,1.0
citroen c5-aircross,Citroen,C5 Aircross,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,119,Euro 6d-TEMP,23830,6/2020,Used,5.2,20949,Heated front seats; Integrated music streaming; Voice control; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Lane assist; Hill-start assist; Front collision warning system,1199.0,1.0
seat arona,Seat,Arona,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5.0,CNG,Manual,4x2,66,115,Euro 6,28000,9/2020,Used,3.9,13899,Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Blind spot assist; Hill-start assist,999.0,2.0
opel combo,Opel,Combo,Blue,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,81,125,Euro 6d,9000,7/2022,Used,5.5,29449,Heated front seats; Integrated music streaming; Heated steering wheel; Traffic sign recognition; Bluetooth; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1199.0,1.0
mercedes-benz amg-gt-r,Mercedes-Benz,AMG GT R,Green,Black interior,Full leather interior,Coupe,2/3 doors,2.0,Petrol,Automatic,4x2,430,259,Euro 6,13500,8/2018,Used,11.4,155099,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Apple CarPlay; Keyless ignition; Voice control; Navigation system,3982.0,2.0
volkswagen golf,Volkswagen,Golf,Black,Black interior,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x4,221,159,Euro 6,91000,6/2016,Used,6.9,26799,Heated front seats; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Xenon headlights,1984.0,1.0
hyundai kona,Hyundai,Kona,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,100,0,No emission class,39220,9/2020,Used,0.0,21399,Heated front seats; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel,1499.0,1.0
mazda mx-30,Mazda,MX-30,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,107,0,No emission class,10,10/2023,New,0.0,26799,LED headlights; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C,830.0,0.0
volkswagen golf,Volkswagen,Golf,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,96,117,Euro 6d,4990,12/2022,Used,5.1,31999,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1498.0,1.0
mercedes-benz cla-200-shooting-brake,Mercedes-Benz,CLA 200 Shooting Brake,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,110,134,Euro 6,14000,7/2022,Used,5.1,36199,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights,1950.0,1.0
bmw 750,BMW,750,Black,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Hybrid,Automatic,4x4,360,0,Euro 6d,4300,3/2023,Used,4.6,146299,Laser headlights; Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2998.0,1.0
skoda fabia,Skoda,Fabia,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,70,134,No emission class,17422,2/2023,Used,5.9,21299,LED headlights; Heated front seats; Apple CarPlay; Integrated music streaming; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist,999.0,0.0
ds-automobiles 3-crossback,DS Automobiles,3 Crossback,Black,Black interior,Full leather interior,Hatchback,2/3 doors,5.0,Electric,Automatic,4x2,100,0,Euro 6,23910,9/2021,Used,0.0,25499,Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1499.0,1.0
renault clio,Renault,Clio,Orange,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,66,120,Euro 6,7,12/2023,New,5.0,22749,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,999.0,1.0
bmw x3,BMW,X3,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,140,126,Euro 6,77777,12/2020,Used,4.8,36299,Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Bluetooth; Automatic A/C; Rain sensor,1995.0,1.0
mercedes-benz cla-200-shooting-brake,Mercedes-Benz,CLA 200 Shooting Brake,Silver,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,110,134,Euro 6,18350,6/2022,Used,5.1,36199,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights,1950.0,1.0
bmw 220-gran-coup%C3%A9,BMW,220 Gran Coupé,Black,Other interior color,Full leather interior,Coupe,4/5 doors,5.0,Petrol,Automatic,4x2,131,124,Euro 6,15400,9/2022,Used,5.4,34099,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Keyless ignition; Voice control; Navigation system; Heated steering wheel,1998.0,1.0
opel astra,Opel,Astra,Blue,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Manual,4x2,74,128,Euro 6,90000,1/2017,Used,5.4,10849,Integrated music streaming; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer,1399.0,1.0
audi a6,Audi,A6,Black,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x4,150,127,Euro 6d-TEMP,99,9/2023,New,4.8,60449,Air suspension; LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Voice control; Navigation system,1968.0,1.0
opel combo,Opel,Combo,Black,Brown interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,114,Euro 6d-TEMP,79242,8/2018,Used,4.3,22049,Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control; Navigation system,1499.0,2.0
renault arkana,Renault,Arkana,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,103,130,Euro 6d,10,12/2022,New,5.8,33999,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,1332.0,0.0
audi s4,Audi,S4,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,255,162,Euro 6d-TEMP,75576,2/2020,Used,6.2,41399,LED headlights; Electric adjustable front seats; Heated front seats; Panoramic roof; Voice control; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Induction charging for smartphones,2967.0,1.0
bmw x7,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Petrol,Automatic,4x4,390,248,Euro 6,73510,4/2020,Used,10.9,81499,Laser headlights; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats,4395.0,1.0
kia picanto,Kia,Picanto,Silver,Black interior,Full leather interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,62,104,Euro 6d,3500,12/2023,Demonstration car,4.9,22049,Keyless entry; Smart key; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel; El. tailgate,1197.0,1.0
land-rover range-rover-velar,Land Rover,Range Rover Velar,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,221,185,Euro 6d-TEMP,52288,8/2019,Used,8.2,51149,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats; Integrated music streaming; Keyless ignition,1997.0,1.0
volkswagen golf,Volkswagen,Golf,Grey,Black interior,Alcantara interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,110,119,Euro 6,10,8/2023,New,5.2,34099,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1498.0,1.0
mercedes-benz eqa,Mercedes-Benz,EQA,Red,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,140,0,Euro 6d-TEMP,11889,9/2022,Used,0.0,44649,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,1499.0,1.0
ford focus,Ford,Focus,White,Other interior color,Cloth interior,Station Wagon,4/5 doors,5.0,Petrol,Manual,4x2,92,108,Euro 6d,10,5/2023,New,5.3,25749,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; El. tailgate; Traffic sign recognition,998.0,0.0
bmw ix,BMW,iX,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,385,0,No emission class,0,8/2023,New,0.0,144999,Laser headlights; Driver's seat with massage function; Ventilated front seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bowers & Wilkins audio,1499.0,0.0
mercedes-benz c-220,Mercedes-Benz,C 220,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,147,119,Euro 6,44748,10/2022,Used,4.5,44149,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1993.0,1.0
volkswagen touran,Volkswagen,Touran,Black,Black interior,Alcantara interior,MPV,4/5 doors,5.0,Petrol,Automatic,4x2,110,148,Euro 6,73551,10/2019,Used,5.6,27749,Driver's seat with massage function; Heated rear seats; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1498.0,1.0
opel combo,Opel,Combo,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,113,No emission class,10,2/2023,New,4.3,38149,Heated front seats; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor; Light sensor; Lane assist; Hill-start assist,1499.0,0.0
peugeot 308,Peugeot,308,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,96,125,Euro 6d-TEMP,73000,9/2018,Used,5.4,16949,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth,1199.0,2.0
bmw 520,BMW,520,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,140,0,Euro 6d-TEMP,750,11/2023,Used,5.5,63599,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Paddle shifters,1998.0,1.0
dacia sandero,Dacia,Sandero,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,74,131,Euro 6,0,9/2023,New,5.8,21049,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor,999.0,0.0
ford kuga,Ford,Kuga,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,164,Euro 6d-TEMP,27800,12/2019,Used,7.2,23599,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system,1498.0,1.0
mercedes-benz cla-250,Mercedes-Benz,CLA 250,White,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5.0,Hybrid,Automatic,4x2,160,23,Euro 6d-TEMP,85423,11/2020,Used,1.0,32599,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition,1332.0,1.0
mercedes-benz glc-43-amg,Mercedes-Benz,GLC 43 AMG,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,287,0,Euro 6d,36650,11/2020,Used,13.6,66849,Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control,2996.0,1.0
lamborghini aventador,Lamborghini,Aventador,Grey,Black interior,Alcantara interior,Cabriolet,2/3 doors,2.0,Petrol,Automatic,4x4,545,394,Euro 6,18100,7/2018,Used,16.9,468299,Air suspension; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Panoramic roof; Voice control; Navigation system; Paddle shifters; Sport front seats,6498.0,2.0
hyundai tucson,Hyundai,Tucson,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,136,148,Euro 6d-TEMP,109214,2/2020,Used,5.6,25499,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Heated steering wheel; El. tailgate; Sport front seats; Traffic sign recognition; Bluetooth,1995.0,1.0
volkswagen taigo,Volkswagen,Taigo,Green,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,81,111,Euro 6d-TEMP,29200,9/2022,Used,4.9,27749,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system,999.0,1.0
